string	float	float	float	float	float	string	bool	bool	bool	bool	bool	bool	bool	float	Vector3
SkillSign	AddSpeed	AddHeight	Gravity	MaxLength	PointLength	PreviewGoSign	IsCheckCollider	IsHook	IsInkOcclusion	IsZetaLine	IsCheckMinThrowDistance	IsLockPitch	IsForceShowEnd	MinDistance	StartPoint
唯一标识	改变抛物线最高点位置，越小越靠近起点	改变抛物线弧度，数值尽量在0-1之间调整	重力	最大距离	两点间距离	预览物体标识	结束点是否开启碰撞检测	是否拉钩钩	是否污污弹	是否泽塔光线	是否验证角色和投掷物最小距离	是否朝向投掷者	是否强制显示结束预览	最小投掷距离	开始投掷距离
Default	3.5	0.6	0.5	200	0.4	PreviewDefault	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
SandCastle	2	0.25	0.5	500	0.63	PreviewSandCastle	1	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
Lego	2	0.25	0.5	500	0.63	PreviewLego	1	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
ShipAnchor	1	0	0	1000	1000	PreviewHook	0	1	0	0	0	0	0	0	(-0.31,-0.23,0.38)
SnowGirlBall	3.5	0.6	0.5	100	0.4	PreviewDefault	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
DiscoBomb	3.5	0.6	0.5	100	0.4	PreviewDefault	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
InkOcclusion	3.5	0.6	0.5	500	0.4	PreviewDefault	0	0	1	0	0	0	0	0	(-0.31,-0.23,0.38)
PirateCannon	2	0.25	0.5	500	0.63	PreviewPirateCannon	1	0	0	0	1	0	0	1.7	(-0.31,-0.23,0.38)
SlimeBomb	2	0.25	0.5	500	0.63	PreviewSlimeBomb	1	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
RainbowCloud	2	0.25	0.5	500	0.63	PreviewRainbowCloud	1	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
GutsAirStrike	2	0.25	0.5	500	0.63	PreviewGutsAirStrike	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
UltraFightGutsAirStrike	2	0.25	0.5	500	0.63	PreviewGutsAirStrike	1	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
RainbowBridge	1.34	1.22	0.319	81	0.63	PreviewRainbowBridge	0	1	0	0	1	1	1	8	(-0.31,-1.45,0.38)
ExpressionInkOcclusion	3.5	0.6	0.5	500	0.4	PreviewDefault	0	0	1	0	0	0	0	0	(-0.31,-0.23,0.38)
ShiftDevice	1	0.15	0	2500	2500	PreviewShiftDevice	0	0	0	0	1	0	0	12	(-0.31,-0.23,0.38)
CaoCaoShieldPawn	2	0.25	0.5	500	0.63	PreviewShieldPawn	1	0	0	0	1	0	0	2	(-0.31,-0.23,0.38)
ZhuGeLiangArrowTowers	2	0.25	0.5	500	0.63	PreviewArrowTowers	1	0	0	0	1	0	0	0	(-0.31,-0.23,0.38)
NinjaHookFly	1	0	0	1000	1000	PreviewNinjaHookFly	0	1	0	0	1	0	0	0	(-0.31,-0.23,0.38)
PaoKuFlyAir	1	0.65	0.13	250	1	PreviewDefault	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
Tiga_ZepellionRay	1	0	0	100	100	PreviewTigaRayZepellionRay	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
Zeta_Shot	1	0	0	200	1	PreviewTigaRayZepellionRay	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
Zeta_Blink	1	0	0	45	0.63	PreviewDefault	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
Zero_Emerium	2	0.6	0	100	0.63	PreviewDefault	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
Zero_Wideshot	1	0	0	100	1	PreviewTigaRayZepellionRay	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
Geed_Shot	1	0	0	100	1	PreviewTigaRayZepellionRay	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
Ultraman_PuppetShot	1	0	0	100	1	PreviewTigaRayZepellionRay	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
Monster_PuppetShot	1	0	0	100	1	PreviewTigaRayZepellionRay	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
Ultraman_Shot	1	0	0	100	1	PreviewTigaRayZepellionRay	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
Monster_Shot	1	0	0	100	1	PreviewTigaRayZepellionRay	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
AidMeiHealingBot	3.5	0.6	0.5	200	0.4	PreviewDefault	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
SungodBurn	3.5	0.6	0.5	200	0.4	PreviewDefault	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
NinjaHookFly_Skin1	1	0	0	1000	1000	PreviewHook	0	1	0	0	0	0	0	0	(-0.31,-0.23,0.38)
SandGrenade	3.5	0.6	0.5	200	0.4	PreviewDefault	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
BladeBall_SnowBall	3.5	0.6	0.5	500	0.4	PreviewDefault	0	0	1	0	0	0	0	0	(-0.31,-0.23,0.38)
Doctorwhoskill2	2.2	0	0	50	0.67	PreviewShiftDevice	1	0	0	0	1	0	1	12	(-0.31,-0.23,0.38)
Doctorwhoskill1	1	0	0	100	1	PreviewTigaRayZepellionRay	0	0	0	0	0	0	0	0	(-0.31,-0.23,0.38)
