string	string	int	int[]	int	int[]	int	int[]	int[]
itemSign	name	showForAndroid	AndroidDefault	showForiOS	iOSDefault	showForWindows	windowsDefault	openAndClose
功能标识	功能描述	显示开关（Android平台，1开0关）	默认值（安卓平台，第一个参数是功能开放的默认值，第二个参数是功能关闭的默认值，逗号分隔）	显示开关（iOS平台，1开0关）	默认值（iOS平台，第一个参数是功能开放的默认值，第二个参数是功能关闭的默认值，逗号分隔）	显示开关（PC平台，1开0关）	默认值（PC平台，第一个参数是功能开放的默认值，第二个参数是功能关闭的默认值，逗号分隔）	UI开关默认值
AimAssist	辅助瞄准	1	1000000000,1	1	1000000000,1	0	1000000000,1000000000	1,0
MirrorSwitchType	倍镜切换功能	1	1,1	1	1,1	0	1,1	1,0
SnipeShotType	拉栓狙开枪模式	1	1,1	1	1,1	0	1,0	1,0
ShotGunShotType	霰弹枪开火模式	1	1,1	1	1,1	0	1,0	1,0
UpperLeftFire	左上方开火	1	1,1	1	1,1	0	1,0	1,0
LeftOpenFire	左边开火按钮	1	1,1	1	1,1	0	1,0	1,0
LeftAnim	左边开镜按钮	1	0,0	1	0,0	0	0,0	1,0
LeftHoldBreath	左边屏息按钮	1	0,0	1	0,0	0	0,0	1,0
FireAndFireState	一键开镜开火	1	0,0	1	0,0	0	0,0	1,0
IsGyroScope	陀螺仪	1	0,0	1	0,0	0	0,0	1,0
SidewayFire	弯腰射击	1	0,0	1	0,0	0	0,1	1,0
AutoSideScope	弯腰自动开镜	1	0,0	1	0,0	0	0,0	1,0
RaisedShoot	信仰射击	1	0,0	1	0,0	0	0,1	1,0
AutoOpenDoor	自动开门	1	1,1	1	1,1	1	1,1	1,0
AutoHoldBreath	开镜自动屏息	1	1,1	1	1,1	1	1,1	1,0
AllowTaskTip	战场任务提示	1	1,1	1	1,1	1	1,1	1,0
EquipState	防具耐久显示	1	0,0	1	0,0	1	0,0	0,1
ArmorState	不显示自身防具和背包	1	0,0	1	0,0	1	0,0	1,0
BagGunState	不显示背挂枪械	1	0,0	1	0,0	1	0,0	0,1
PlayerMoveFree	摇杆位置	1	0,0	1	0,0	1	0,0	0,1
AutoFire	自动开火	1	1,1	1	1,1	1	1,1	1,0
AutoFireAstrict	限制自动开火范围	1	0,0	1	0,0	1	0,0	1,0
Auto_Fire_SubmachineGun	冲锋枪	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_Assault	突击步枪	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_ShotGun	霰弹枪	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_Sniper	狙击枪	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_DesignatedMarksmanRifle	射手步枪	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_LightMachineGun	机枪	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_RailGun	蓄能炮	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_FocusGun	能量加速机枪	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_Projectile	RPG	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_Bow	爆炸弓	1	1,1	1	1,1	1	1,1	1,0
Auto_Fire_Pistol	手枪	1	1,1	1	1,1	1	1,1	1,0
ChangeLeftRight	左右操作互换	1	0,0	1	0,0	1	0,0	1,0
PickUpStyle	拾取方式	1	1,1	1	1,1	0	1,1	0,1
AutoPickItem	自动拾取	1	1,1	1	1,1	1	1,1	1,0
AutoPickUpGun	自动拾取手枪	1	1,1	1	1,1	1	1,1	1,0
AutoPickItemForUIHide	收起拾取栏时停止自动拾取	1	1,1	1	1,1	0	1,1	1,0
AutoPickMelee	自动拾取近战武器	1	1,1	1	1,1	1	1,1	1,0
Resolution	战场分辨率	1	2,2	1	3,3	0	3,3	1,0
QualityType	战场画质	1	2,2	1	3,3	1	2,2	1,0
TargetFrame	战场帧数	1	3,3	1	3,3	1	3,3	1,0
